generation,average_fitness,best_fitness
0,94.13066978710395,95.18719424084453
1,94.45153079690395,95.16620268942866
2,94.65496950604017,95.23311243935214
3,94.78509807127809,95.21345096717049
4,94.94638412210617,95.26452969708376
5,95.00519729589938,95.28841585571712
6,95.11249990146905,95.34878033584344
7,95.14033927821195,95.39750416086748
8,95.08874046147616,95.35862543698772
9,95.14600616185342,95.38518548846119
10,95.15313204625795,95.41381938416598
11,95.06561214105773,95.41949670949398
12,94.9834460636087,95.44527369703886
13,95.25116143580459,95.467000635778
14,95.19544170613973,95.37836996645126
15,95.22718882570477,95.41247532430789
16,95.19596707626377,95.47731973861961
17,95.3071923807849,95.50275033497027
18,95.26178090418315,95.49951696133024
19,95.2783318242458,95.4654982047974
20,95.28044831182197,95.47438091447123
21,95.31075375824459,95.48046580601815
22,95.29337254245713,95.50110076223521
23,95.25497864175428,95.51705680098108
24,95.25495855013627,95.5010052377529
25,95.33052823738984,95.51815955328978
26,95.29651096862474,95.50153096278888
27,95.28354622313013,95.48608963188865
28,95.33886638433236,95.50350232842213
29,95.27050758457179,95.4999412164165
30,95.27948259951737,95.48011123499838
31,95.29705455706831,95.4905932830803
32,95.52038865649735,95.68308274804771
33,95.4870081414031,95.68493608472352
34,95.4714834731058,95.6845098607908
35,95.5039301238449,95.72402671178511
36,95.43263421688205,95.70369419557737
