generation,average_fitness,best_fitness
0,95.5820505180182,96.06157169506153
1,95.63206512945938,96.06805434938015
2,95.77165274092846,96.03203141905506
3,95.78880927309011,96.08399482681817
4,95.82410689424387,96.08642587772962
5,95.96034712703666,96.11714164471967
6,96.01030640885547,96.25204849340761
7,95.96687847389234,96.18201664832549
8,95.97308920513437,96.18198383183845
9,96.04230336242267,96.19064045604317
10,96.01414333018744,96.2282716805702
11,95.9795250939801,96.13972115764639
12,95.96591769137582,96.18517649540803
13,96.05259025580123,96.23763946167696
14,95.98785895074477,96.20624615317999
15,96.03598814538252,96.22306319705415
16,96.06950037742698,96.25413522719204
17,96.13737349994335,96.29721959388588
18,96.05804514280392,96.27046460447907
19,96.12943244269414,96.30322450221732
20,96.11817399716354,96.28705656235554
21,96.1608502691416,96.30726600719144
22,96.13810046432754,96.30632923927648
23,96.20658400166043,96.3018278939019
24,96.1506813253411,96.31411115646121
25,96.17984710280345,96.31290927333883
26,96.14852048115596,96.31730130830783
27,96.16141455954421,96.31268191655087
28,96.22998726216068,96.30363462139061
29,96.18590210838006,96.3396325930376
30,96.22417431726753,96.3326260555827
31,96.19919831145718,96.35148160942863
32,96.25499111502415,96.35753782090298
33,96.02886551439698,96.36894570061268
34,96.00195621312511,96.27504029503127
35,96.04263737228099,96.32635112509851
36,95.99442927465853,96.32037506712008
37,96.03923911018224,96.28825220053587
38,96.05993950304357,96.31887612314141
39,96.05938345863267,96.31817027789427
40,96.05639632889218,96.31965795635168
41,96.07801705004606,96.307313917009
42,96.11854820969785,96.30475780240067
43,96.11283271957028,96.34644599551001
44,96.21260716683123,96.35343280666513
45,96.17634264994717,96.35606474525771
46,96.14016989898847,96.34955573222868
47,96.14556176517085,96.35546446901249
