generation,average_fitness,best_fitness
0,96.24121045919239,96.66215877971648
1,96.39604489079461,96.60090254055069
2,96.39812023812627,96.60683440171242
3,96.45577241365014,96.61987227995175
4,96.43784924029421,96.58386302256945
5,96.40140815889703,96.59187760319848
6,96.45592885816767,96.61424229700567
7,96.47158434255871,96.61932269853604
8,96.4344466958331,96.59788611687539
9,96.47194074750887,96.60418637799832
10,96.48020680996878,96.65746383503844
11,96.45023692022303,96.61875569108149
12,96.51130197021966,96.63419800785873
13,96.51844690392826,96.64518627559058
14,96.45077586249849,96.62802858649565
15,96.50428465507447,96.62314251133638
16,96.5224745607357,96.6411956286798
17,96.51528867645212,96.5988571627263
18,96.52717807107858,96.62436559431634
19,96.49570562416659,96.60862144217509
20,96.50868184974954,96.62725378854253
21,96.48916637537044,96.64455006456271
22,96.51655949730957,96.6403691172269
23,96.53909234712083,96.67624943579166
24,96.54978775398521,96.69798715308777
25,96.55229790721383,96.67844008148164
26,96.57959879364608,96.70567695932137
27,96.58964677095206,96.70395088992181
28,96.59119470459791,96.6750381780115
29,96.54774923990523,96.67878558516082
30,96.48839197832214,96.65106098723915
31,96.56593300477836,96.6655788340044
